id,category1,category2,description,csvpath,webcontroller,aplcontroller,url,view,js,ajdust
SUB_INVOICE_DETAIL,B,,,,BaseController@pass,SubInvoiceController@getDetail,sub_invoice/detail,,,
SUB_INVOICE_UPLOAD_PIC,B,,,,,,sub_invoice/upload_pic,,,
SUB_INVOICE_EDIT_PIC,B,,,,,,sub_invoice/edit_pic,,,
SUB_INVOICE_DOWNLOAD,B,,,,BaseController@pass,SubInvoiceController@download,sub_invoice/download,,,
SUB_INVOICE_REGIST,B,,,,SubInvoiceController@regist,SubInvoiceController@regist,sub_invoice/regist,,,
INLAND_DETAIL,B,,,,BaseController@pass,InlandTransportController@getDetail,inland/detail,,,
INLAND_GET_TO_LOCATION,B,,,,BaseController@pass,InlandTransportController@getToLocations,inland/get_to_location,,,
INLAND_GET_INFO,B,,,,BaseController@pass,InlandTransportController@getInfo,inland/get_info,,,
INLAND_REGIST,B,,,,InlandTransportController@regist,InlandTransportController@regist,inland/regist,,,
DOC_DETAIL,B,,,,BaseController@pass,ShippingDocumentController@getDetail,doc/detail,,,
DOC_REGIST,B,,,,ShippingDocumentController@regist,ShippingDocumentController@regist,doc/regist,,,
EC_DETAIL,B,,,,BaseController@pass,ExportCertificateController@getDetail,ec/detail,,,
EC_UPLOAD_PIC,B,,,,PictureController@putPdf,ExportingPictureController@putEcPdf,ec/upload_pic,,,
EC_EDIT_PIC,B,,,,BaseController@pass,ExportingPictureController@delEcPdf,ec/edit_pic,,,
EC_GET_PIC,B,,,,PictureController@get,ExportingPictureController@getEcPdfThumbnail,ec/get_pic,,,
EC_GET_EN_PIC,B,,,,PictureController@get,ExportingPictureController@getEcePdfThumbnail,ec/get_en_pic,,,
EC_GET_PDF,B,,,,PictureController@getPdf,ExportingPictureController@getEcPdf,ec/get_pdf,,,
EC_DOWNLOAD_PDF,B,,,,,,ec/download_pdf,,,
EC_GET_EN_PDF,B,,,,PictureController@getPdf,ExportingPictureController@getEcePdf,ec/get_en_pdf,,,
EC_UPLOAD_EN_PDF,B,,,,PictureController@put,ExportingPictureController@putEcePdf,ec/upload_en_pdf,,,
EC_REGIST,B,,,,ExportCertificateController@regist,ExportCertificateController@regist,ec/regist,,,
SI_DETAIL,B,,,,BaseController@pass,ShippingInstructionController@getDetail,si/detail,,,
SI_UPDATE,B,,,,,,si/update,,,
SI_INVOICE_DOWNLOAD_DETAIL,B,,,,BaseController@pass,ShippingInstructionController@invoiceDownloadl,si/invoice_download_detail,,,
SI_SI_DOWNLOAD_DETAIL,B,,,,BaseController@pass,ShippingInstructionController@shippingInstructionDownloadl,si/si_download_detail,,,
SI_REGIST,F/B,,,,ShippingInstructionController@regist,ShippingInstructionController@regist,si/regist,,,
EC_SENT_REC_DETAIL,B,,,,BaseController@pass,ExportCertificateSendAndReceiveController@getDetail,ec_sent_rec/detail,,,
EC_SENT_REC_REGIST,B,,,,ExportCertificateSendAndReceiveController@regist,ExportCertificateSendAndReceiveController@regist,ec_sent_rec/regist,,,
BL_DETAIL,B,,,,BaseController@pass,BillLadingController@getDetail,bl/detail,,,
BL_GET_PIC,B,,,,PictureController@get,ExportingPictureController@getBlPdfThumbnail,bl/get_pic,,,
BL_GET_PDF,B,,,,PictureController@getPdf,ExportingPictureController@getBlPdf,bl/get_pdf,,,
BL_UPLOAD_PIC,B,,,,PictureController@put,ExportingPictureController@putBlPdf,bl/upload_pic,,,
BL_EDIT_PIC,B,,,,BaseController@pass,ExportingPictureController@delBlPdf,bl/edit_pic,,,
BL_REGIST,B,,,,BillLadingController@regist,BillLadingController@regist,bl/regist,,,
BL_DOWNLOAD,B,,BLをzipにまとめてダウンロード,,PictureController@getZip,ExportingPictureController@getZippedBLPdfs,bl/download,,,
SHIPPING_ADMIN_LIST,B,,リスト表示,,BaseController@pass,ShippingAdminController@getList,shipping_admin/list,,,
SHIPPING_ADMIN_LIST_DOWNLOAD,B,,リスト中のitemをエクセルダウンロード,,BaseController@download,-,shipping_admin/list_download,,,
SHIPPING_ADMIN_UPDATE_MESSAGE,B,,,,BaseController@pass,ShippingAdminController@updateMessage,shipping_admin/update_message,,,
SHIPPING_ADMIN_DELETE_SHIP,B,,,,BaseController@pass,ShippingAdminController@deleteShip,shipping_admin/delete_ship,,,
SHIPPING_ADMIN_DETAIL,B,,,,BaseController@pass,ShippingAdmingController@getDetail,shipping_admin/detail,,,
SHIPPING_ADMIN_PORT_LIST,B,,,,BaseController@pass,ShippingAdmingController@getPortList,shipping_admin/port_list,,,
SHIPPING_ADMIN_REGIST,B,,,,ShippingAdminController@regist,ShippingAdmingController@regist,shipping_admin/regist,,,
LC_UPLOAD_PDF,B,,,,PictureConroller@putPdf,ExportingPictureController@putLcPdf,lc/upload_pdf,,,
LC_EDIT_PIC,B,,,,BaseController@pass,ExportingPictureController@delLcPdf,lc/edit_pic,,,
LC_GET_PIC,B,,,,PictureController@get,ExportingPictureController@getLcPdfThumbnail,lc/get_pic,,,
LC_GET_PDF,B,,,,PictureController@getPdf,ExportingPictureController@getLcPdf,lc/get_pdf,,,
